---, frame,l_00,r_00,g_00,b_00
0,"0","255.000000","255.000000","255.000000","255.000000"
1,"1","197.000000","197.000000","197.000000","197.000000"
2,"2","255.000000","255.000000","255.000000","255.000000"
3,"3","255.000000","255.000000","255.000000","255.000000"
4,"4","255.000000","255.000000","255.000000","255.000000"
5,"5","255.000000","255.000000","255.000000","255.000000"
6,"6","255.000000","255.000000","255.000000","255.000000"
7,"7","255.000000","255.000000","255.000000","255.000000"
8,"8","255.000000","255.000000","255.000000","255.000000"
9,"9","255.000000","255.000000","255.000000","255.000000"
10,"10","255.000000","255.000000","255.000000","255.000000"
11,"11","255.000000","255.000000","255.000000","255.000000"
12,"12","255.000000","255.000000","255.000000","255.000000"
13,"13","255.000000","255.000000","255.000000","255.000000"
14,"14","255.000000","255.000000","255.000000","255.000000"
15,"15","255.000000","255.000000","255.000000","255.000000"
16,"16","255.000000","255.000000","255.000000","255.000000"
17,"17","255.000000","255.000000","255.000000","255.000000"
18,"18","255.000000","255.000000","255.000000","255.000000"
19,"19","255.000000","255.000000","255.000000","255.000000"
20,"20","255.000000","255.000000","255.000000","255.000000"
21,"21","255.000000","255.000000","255.000000","255.000000"
22,"22","255.000000","255.000000","255.000000","255.000000"
23,"23","255.000000","255.000000","255.000000","255.000000"
24,"24","255.000000","255.000000","255.000000","255.000000"
25,"25","255.000000","255.000000","255.000000","255.000000"
26,"26","255.000000","255.000000","255.000000","255.000000"
27,"27","255.000000","255.000000","255.000000","255.000000"
28,"28","255.000000","255.000000","255.000000","255.000000"
29,"29","255.000000","255.000000","255.000000","255.000000"
30,"30","255.000000","255.000000","255.000000","255.000000"
31,"31","197.000000","197.000000","197.000000","197.000000"
32,"32","255.000000","255.000000","255.000000","255.000000"
33,"33","255.000000","255.000000","255.000000","255.000000"
34,"34","255.000000","255.000000","255.000000","255.000000"
35,"35","255.000000","255.000000","255.000000","255.000000"
36,"36","255.000000","255.000000","255.000000","255.000000"
37,"37","255.000000","255.000000","255.000000","255.000000"
38,"38","255.000000","255.000000","255.000000","255.000000"
39,"39","255.000000","255.000000","255.000000","255.000000"
40,"40","255.000000","255.000000","255.000000","255.000000"
41,"41","255.000000","255.000000","255.000000","255.000000"
42,"42","255.000000","255.000000","255.000000","255.000000"
43,"43","255.000000","255.000000","255.000000","255.000000"
44,"44","255.000000","255.000000","255.000000","255.000000"
45,"45","255.000000","255.000000","255.000000","255.000000"
46,"46","255.000000","255.000000","255.000000","255.000000"
47,"47","255.000000","255.000000","255.000000","255.000000"
48,"48","255.000000","255.000000","255.000000","255.000000"
49,"49","255.000000","255.000000","255.000000","255.000000"
50,"50","255.000000","255.000000","255.000000","255.000000"
51,"51","255.000000","255.000000","255.000000","255.000000"
52,"52","255.000000","255.000000","255.000000","255.000000"
53,"53","255.000000","255.000000","255.000000","255.000000"
54,"54","255.000000","255.000000","255.000000","255.000000"
55,"55","255.000000","255.000000","255.000000","255.000000"
56,"56","255.000000","255.000000","255.000000","255.000000"
